date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:28:31	1450/1450	---MCZ	404	error ('Not%20Found')	text/html	etag:1663390951-ssl-df	https://paynow3000.netlify.app/robots.txt		(from )
21:28:31	145529/145529	---MCZ	200	added ('OK')	text/html	etag:%226445ab6e6fdebe3a19c9fc15aeb429bf-ssl-df%22	https://paynow3000.netlify.app/	C:/My%20Web%20Sites/kk/paynow3000.netlify.app/index.html	(from )
21:28:33	136/136	---M--	200	added ('OK')	image/png	etag:%225cf8b5bf-88%22	https://cdn.dcloud.net.cn/img/shadow-grey.png	C:/My%20Web%20Sites/kk/cdn.dcloud.net.cn/img/shadow-grey.png	(from https://paynow3000.netlify.app/)
21:28:33	3082/3082	---MCZ	404	error ('Not%20Found')	text/html	etag:1663390951-ssl-df	https://paynow3000.netlify.app/assets/style.css	C:/My%20Web%20Sites/kk/paynow3000.netlify.app/assets/style.1.delayed	(from https://paynow3000.netlify.app/)
21:28:34	3082/3082	---M-Z	404	error ('Not%20Found')	text/html	etag:1663390951-ssl-df	https://paynow3000.netlify.app/static/js/pages-componentsA-cell-cell~pages-componentsA-empty-empty~pages-componentsA-loading-page-loading-pag~0aae85b3.25e364e1.js	C:/My%20Web%20Sites/kk/paynow3000.netlify.app/static/js/pages-componentsA-cell-cell_pages-componentsA-empty-empty_pages-componentsA-loading-page-loading-pag_0aae85b3.25e364e1.2.delayed	(from https://paynow3000.netlify.app/)
21:28:34	3082/3082	---M-Z	404	error ('Not%20Found')	text/html	etag:1663390951-ssl-df	https://paynow3000.netlify.app/static/js/pages-componentsA-grid-grid~pages-componentsA-overlay-overlay~pages-componentsA-popup-popup~pages-co~04137b12.48223f7f.js	C:/My%20Web%20Sites/kk/paynow3000.netlify.app/static/js/pages-componentsA-grid-grid_pages-componentsA-overlay-overlay_pages-componentsA-popup-popup_pages-co_04137b12.48223f7f.3.delayed	(from https://paynow3000.netlify.app/)
21:28:35	3082/3082	---M-Z	404	error ('Not%20Found')	text/html	etag:1663390951-ssl-df	https://paynow3000.netlify.app/static/js/pages-componentsA-button-button~pages-componentsA-empty-empty~pages-componentsA-popup-popup~pages-co~46efb8a8.eafb12cb.js	C:/My%20Web%20Sites/kk/paynow3000.netlify.app/static/js/pages-componentsA-button-button_pages-componentsA-empty-empty_pages-componentsA-popup-popup_pages-co_46efb8a8.eafb12cb.4.delayed	(from https://paynow3000.netlify.app/)
21:28:35	3082/3082	---M-Z	404	error ('Not%20Found')	text/html	etag:1663390951-ssl-df	https://paynow3000.netlify.app/static/js/pages-componentsA-popup-popup~pages-componentsA-repay-upi~pages-componentsA-repay2-result~pages-comp~64781d7d.b3a44da0.js	C:/My%20Web%20Sites/kk/paynow3000.netlify.app/static/js/pages-componentsA-popup-popup_pages-componentsA-repay-upi_pages-componentsA-repay2-result_pages-comp_64781d7d.b3a44da0.5.delayed	(from https://paynow3000.netlify.app/)
21:28:36	3082/3082	---MCZ	404	error ('Not%20Found')	text/html	etag:1663390951-ssl-df	https://paynow3000.netlify.app/static/js/pages-repay.a0baf0f9.js	C:/My%20Web%20Sites/kk/paynow3000.netlify.app/static/js/pages-repay.a0baf0f9.6.delayed	(from https://paynow3000.netlify.app/)
21:28:36	23021/23021	---M--	200	added ('OK')	text/css	date:Mon,%2009%20Jan%202023%2020:58:00%20GMT	https://translate.googleapis.com/translate_static/css/translateelement.css	C:/My%20Web%20Sites/kk/translate.googleapis.com/translate_static/css/translateelement.css	(from https://paynow3000.netlify.app/)
21:28:37	1356/1356	---M-Z	200	added ('OK')	text/html	etag:%2221f5ad15f1aea0006c8f8d8b3b58d158-ssl-df%22	https://paynow3000.netlify.app/success.html	C:/My%20Web%20Sites/kk/paynow3000.netlify.app/success.html	(from https://paynow3000.netlify.app/)
21:28:37	3082/3082	---MCZ	404	error ('Not%20Found')	text/html	etag:1663390951-ssl-df	https://paynow3000.netlify.app/static/js/chunk-vendors.635eb109.js	C:/My%20Web%20Sites/kk/paynow3000.netlify.app/static/js/chunk-vendors.635eb109.9.delayed	(from https://paynow3000.netlify.app/)
21:28:38	3082/3082	---MCZ	404	error ('Not%20Found')	text/html	etag:1663390951-ssl-df	https://paynow3000.netlify.app/ssassets/index.e72a409a.js	C:/My%20Web%20Sites/kk/paynow3000.netlify.app/ssassets/index.e72a409a.a.delayed	(from https://paynow3000.netlify.app/)
21:28:38	846/846	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Oct%202021%2009:08:00%20GMT	https://www.gstatic.com/images/branding/product/1x/translate_24dp.png	C:/My%20Web%20Sites/kk/www.gstatic.com/images/branding/product/1x/translate_24dp.png	(from https://paynow3000.netlify.app/)
21:28:39	308/308	---M--	200	added ('OK')	image/gif	date:Tue,%2022%20Oct%202019%2018:30:00%20GMT	http://www.google.com/images/zippy_minus_sm.gif	C:/My%20Web%20Sites/kk/www.google.com/images/zippy_minus_sm.gif	(from https://translate.googleapis.com/translate_static/css/translateelement.css)
21:28:40	3082/3082	---MCZ	404	error ('Not%20Found')	text/html	etag:1663390951-ssl-df	https://paynow3000.netlify.app/assets/tlogo.e9040472.png	C:/My%20Web%20Sites/kk/paynow3000.netlify.app/assets/tlogo.e9040472.d.delayed	(from https://paynow3000.netlify.app/success.html)
